Group 1,Group 2,Selection Rate 1,Selection Rate 2,Pairwise DP Ratio,Pairwise DP Difference,Pairwise Eq Odds Ratio,Pairwise Eq Odds Difference,Target Group,Target Selection Rate,Rest Selection Rate,One Vs Rest DP Ratio,One Vs Rest DP Difference,One Vs Rest Eq Odds Ratio,One Vs Rest Eq Odds Difference
Caucasian,AfricanAmerican,0.7722845787657772,0.7792792792792793,0.9910241415375869,0.00699470051350215,0.9991487573608205,0.0008510534321025665,,,,,,,
Caucasian,Hispanic,0.7722845787657772,0.7698961937716263,0.9969073770733998,0.0023883849941508384,0.9989266749519828,0.0010733250480171597,,,,,,,
Caucasian,Asian,0.7722845787657772,0.7362637362637363,0.9533580709851706,0.03602084250204085,0.9989266749519828,0.0010733250480171597,,,,,,,
Caucasian,Other,0.7722845787657772,0.7738927738927739,0.9979219406340916,0.0016081951269967254,0.9989266749519828,0.0010733250480171597,,,,,,,
AfricanAmerican,Hispanic,0.7792792792792793,0.7698961937716263,0.9879592775566534,0.009383085507652988,0.9997777283840854,0.0002222716159145932,,,,,,,
AfricanAmerican,Asian,0.7792792792792793,0.7362637362637363,0.9448008638760084,0.043015543015543,0.9997777283840854,0.0002222716159145932,,,,,,,
AfricanAmerican,Other,0.7792792792792793,0.7738927738927739,0.9930878370184728,0.005386505386505425,0.9997777283840854,0.0002222716159145932,,,,,,,
Hispanic,Asian,0.7698961937716263,0.7362637362637363,0.9563155945178418,0.03363245750789001,1.0,0.0,,,,,,,
Hispanic,Other,0.7698961937716263,0.7738927738927739,0.9948357443615292,0.003996580121147564,1.0,0.0,,,,,,,
Asian,Other,0.7362637362637363,0.7738927738927739,0.9513769363166954,0.037629037629037576,1.0,0.0,,,,,,,
,,,,,,,,Caucasian,0.7722845787657772,0.779510022271715,0.9907307881880969,0.00722544350593779,0.9995982222964884,0.0004015077823134039
,,,,,,,,AfricanAmerican,0.7792792792792793,0.7728814928507957,0.9917901237738533,0.006397786428483654,0.999073660434258,0.0009261336667497622
,,,,,,,,Hispanic,0.7698961937716263,0.7741720085470085,0.9944769189170154,0.004275814775382192,0.999009090517427,0.0009909094825729658
,,,,,,,,Asian,0.7362637362637363,0.7743179122182681,0.9508545839453538,0.038054175954531755,0.999022191990477,0.0009778080095229624
,,,,,,,,Other,0.7738927738927739,0.7740938839241222,0.9997401994311997,0.00020111003134826166,0.999013891270794,0.0009861087292060144
